,beta_Methyl_D_Glucoside,DGalactonic_Acid_gamma_Lactone,LArginine,Pyruvic_Acid_Methyl_Ester,DXylose,DGalacturonic_Acid,LAsparagine,Tween_40,i_Erythritol,X2_Hydroxy_Benzoic_Acid,L_Phenylalanine,Tween_80,DMannitol,X4Hydroxy_Benzoic_Acid,LSerine,alpha_Cyclodextrin,Nacetyl_DGlucosamine,gamma_Hydroxybutyric_Acid,L_Threonine,Glycogen,DGlucosaminic_Acid,Itaconic_Acid,Glycyl_LGlutamic_Acid,DCellobiose,Glucos_1Phosphate,alpha_Ketobutyric_Acid,Phenylethyl_amine,alpha_DLactose,DL_alpha_Glycerol_Phosphate,DMalic_Acid,Putrescine
Bin,-0.066966667,-0.01975,-0.0603,-0.012216667,-0.028583334,0.055716667,0.061316667,0.088533334,-0.021566667,0.1116,-0.0224,0.004333334,-0.005716667,-0.003266667,-0.014833333,-0.014883334,-0.046183333,-0.0355,0.114866667,-0.04955,-0.050316667,0.2268,0.095866667,0.16995,0.020433333,0.005316667,-0.037066667,0.0275,0.041183333,0.032916667,-0.06255
Bout,-0.009766667,-0.008916667,0.136966667,0.016316667,0.1039,-0.007983334,0.0574,0.194116667,0.06655,0.167433333,-0.012316667,0.07425,-0.00655,-0.007783333,0.03005,0.043366667,0.0365,0.188666667,-0.001566667,-0.0005,0.020366667,0.099666667,0.047316667,-0.010666667,0.078316667,0.001466667,0.022566667,-0.0041,-0.00015,0.017233334,0.054483334
Cin,-0.012183333,-0.054183334,0.099383334,0.019416667,-0.009816667,-0.05115,0.0454,0.281566667,-0.0515,0.206533333,-0.02945,0.011283334,0.157983334,-0.0144,-0.026216667,0.079766667,0.176433333,-0.01725,0.119133333,-0.010583334,0.032016667,0.077316667,0.019166667,0.072666667,-0.0061,-0.030133333,0.0877,-0.010783334,0.01015,0.37255,-0.026833334
Cout,-0.0032,0.019883334,0.012666667,0.0128,0.02675,0.027466667,0.039816667,0.1976,0.010866667,0.2851,0.002716667,0.125083334,0.127316667,0.10605,-0.001933333,0.07505,0.225666667,0.035766667,-1E-04,0.013333334,0.08475,0.048816667,0.264466667,0.040683333,0.01175,0.042133333,-0.004183333,0.094666667,0.010183334,0.1621,-0.004683334
Doin,0.106033334,0.105316667,0.076116667,0.2364,-0.01135,0.1513,0.03295,0.333666667,-0.0494,0.08565,0.046466667,0.113216667,0.3492,0.017683333,0.061233334,0.036383334,0.26425,-0.039833333,0.049833334,0.1091,0.12905,0.10515,0.100583333,0.1049,0.030766667,-0.031233333,0.031833334,0.055183333,0.116483334,0.0938,-0.005483333
Doout,0.05005,0.071533334,0.008366667,0.105766667,0.11325,0.025966667,0.000566667,0.185066667,0.072266667,0.188466667,0.080066667,0.230033334,0.140083334,0.036716667,0.068416667,0.131516667,0.19215,0.1028,0.098216667,0.109383333,0.0599,0.12915,0.126783334,0.012883333,0.0601,0.0269,0.005133333,0.010366667,0.039866667,0.0035,-0.001066667
Duin,0.367266667,0.4023,0.520683333,0.5088,0.5877,0.408366667,0.975983334,0.774283333,0.34065,0.086116667,0.2602,0.648416667,1.042966667,0.4645,0.4773,0.643066667,0.641883333,0.121633334,0.23075,0.638933334,0.301083334,0.419,0.534283334,0.72455,0.368083334,0.151183333,0.36325,0.93655,0.052066667,0.3771,0.14505
Duout,0.00535,0.421833334,0.019183334,0.275616667,-0.0068,0.211983334,0.14445,0.200866667,-0.003433334,0.135183334,0.053066667,0.050083333,0.56515,0.059516667,0.209716667,0.143533334,0.07935,0.05005,0.00665,0.9055,0.042866667,0.066333334,0.214716667,0.601683333,0.138316667,0.058083334,0.005933333,0.058166667,0.070616667,0.009216667,0.00755
Win,0.290316667,0.26425,0.017916667,0.379133334,-0.017816667,0.15905,0.145466667,0.5405,0.101266667,0.157916667,-0.003733333,0.370883333,0.7289,0.301083334,0.093283333,0.284233334,0.42805,0.07935,-0.001633334,0.493283333,0.197016667,0.180483334,0.106983334,0.601033333,0.205066667,0.045566667,0.269016667,0.73575,0.0026,0.159933334,0.183016667
Wout,0.069283334,0.019133333,0.01985,0.345216667,0.007233333,0.04185,0.129966667,0.351433334,-0.0371,0.220366667,0.061383334,0.07295,0.240866667,0.036533334,0.198716667,0.1957,0.061483333,0.006566667,0.036083333,1.107366667,-0.00925,0.015366667,0.1374,0.20065,-0.019833333,0.025916667,-0.03135,0.08895,0.073666667,-0.034533333,0.05455
