"","L1z1","L1z10","L2z0","L2z10","L3z0","L3z10","L4z0","L5z0","L5z10","L6z0","L7z0","L8z0"
"L1z1",0,0.703703703703704,0.317073170731707,0.6,0.166666666666667,0.142857142857143,0.255813953488372,0.183673469387755,0.215686274509804,0.176470588235294,0.238095238095238,0.2
"L1z10",0.703703703703704,0,0.615384615384615,0.6,0.757575757575758,0.705882352941177,0.785714285714286,0.705882352941177,0.666666666666667,0.666666666666667,0.703703703703704,0.714285714285714
"L2z0",0.317073170731707,0.615384615384615,0,0.448275862068966,0.234042553191489,0.25,0.333333333333333,0.166666666666667,0.24,0.24,0.268292682926829,0.26530612244898
"L2z10",0.6,0.6,0.448275862068966,0,0.555555555555556,0.567567567567568,0.483870967741935,0.513513513513513,0.538461538461538,0.538461538461538,0.533333333333333,0.631578947368421
"L3z0",0.166666666666667,0.757575757575758,0.234042553191489,0.555555555555556,0,0.0181818181818182,0.102040816326531,0.0545454545454545,0.087719298245614,0.0526315789473684,0.208333333333333,0.0714285714285714
"L3z10",0.142857142857143,0.705882352941177,0.25,0.567567567567568,0.0181818181818182,0,0.12,0.0714285714285714,0.0689655172413793,0.0344827586206897,0.224489795918367,0.0526315789473684
"L4z0",0.255813953488372,0.785714285714286,0.333333333333333,0.483870967741935,0.102040816326531,0.12,0,0.12,0.192307692307692,0.153846153846154,0.255813953488372,0.176470588235294
"L5z0",0.183673469387755,0.705882352941177,0.166666666666667,0.513513513513513,0.0545454545454545,0.0714285714285714,0.12,0,0.0689655172413793,0.0689655172413793,0.142857142857143,0.087719298245614
"L5z10",0.215686274509804,0.666666666666667,0.24,0.538461538461538,0.087719298245614,0.0689655172413793,0.192307692307692,0.0689655172413793,0,0.0333333333333333,0.215686274509804,0.0508474576271186
"L6z0",0.176470588235294,0.666666666666667,0.24,0.538461538461538,0.0526315789473684,0.0344827586206897,0.153846153846154,0.0689655172413793,0.0333333333333333,0,0.215686274509804,0.0508474576271186
"L7z0",0.238095238095238,0.703703703703704,0.268292682926829,0.533333333333333,0.208333333333333,0.224489795918367,0.255813953488372,0.142857142857143,0.215686274509804,0.215686274509804,0,0.2
"L8z0",0.2,0.714285714285714,0.26530612244898,0.631578947368421,0.0714285714285714,0.0526315789473684,0.176470588235294,0.087719298245614,0.0508474576271186,0.0508474576271186,0.2,0
