Site,Station,Depth,Temperature,OxygenMgL,OxygenPerSat,Fluorescence,Salinity,Site
Long_Sound1_0,1,0,12.78755,103.685,8.9259,1.69415,33.1225,Long
Long_Sound1_10,1,10,12.27503333,96.556,8.3414,2.0999,34.25163333,Long
Long_Sound2_0,2,0,12.3551,98.858,8.5639,3.7638,33.561,Long
Long_Sound2_10,2,10,12.2208,95.805,8.303166667,3.3853,34.035175,Long
Long_Sound3_0,3,0,13.084,101.354,8.8307,2.278,30.6963,Long
Long_Sound3_10,3,10,12.34446667,61.31066667,5.3004,2.310333333,33.91176667,Long
Long_Sound4_0,4,0,12.65695,102.781,9.0425,-2.2273,30.036,Long
Long_Sound4_10,4,10,12.27206667,77.657,6.7313,8.283466667,33.76313333,Long
Long_Sound5_0,5,0,12.69155,89.482,7.9193,-2.2273,29.17795,Long
Long_Sound5_10,5,10,12.1017,79.70733333,6.9302,-2.2721,33.8361,Long
Long_Sound5_40,5,40,12.2549,69.54366667,6.0166,0.019266667,34.12873333,Long
Long_Sound5_100,5,100,12.0894,71.528,6.207766667,0.025866667,34.1271,Long
Long_Sound5_200,5,200,11.9724,76.80833333,6.683,-0.019366667,34.12883333,Long
Long_Sound5_360,5,360,11.99626667,74.82433333,6.506733333,-0.0145,34.13773333,Long
Long_Sound6_0,6,0,13.191,92.9925,8.1333,-2.2273,29.21785,Long
Long_Sound6_10,6,10,12.1234,93.535,8.133566667,-2.2273,33.73716667,Long
Lomg_Sound7_0,7,0,13.19125,85.0615,7.55385,-2.2273,26.93065,Long
Long_Sound7_10,7,10,12.10553333,94.00566667,8.179966667,-2.2273,33.69996667,Long
Long_Sound8_0,8,0,12.99805,91.7195,7.9395,-2.2273,31.42805,Long
Long_Sound8_10,8,10,12.01466667,89.75066667,7.797833333,-2.2273,34.20613333,Long
